"Paper_number","Paper_ID","Synthesis_type","Title","Author","N_Studies","N_Pairwise_comparisons","Year_range","Language_range","Country_range","Latitude","Longitude","Biome","Model","Commodity","Crop","magpie_class","Kingdom","Phylum","Class","Order","Family","Genus_Species","Functional_group","Comparison_.control.vs.ps2.","Control","Landuse","agricultural_system","Practice","Practice_detail","Crop.1","Cover_crop","Bt_type","biodiversity_metric_category","Biodiversity_measure","ID","Effect_size","Sample_size","LRR","Percentage_change","p.value","SD","SE","Lower_CI","Upper_CI","Extracted_from","Reference","CA_score","Comments","Weight","Treatment"
20,"Roy.S","Review","Soil Arthropods in Maintaining Soil Health: Thrust Areas for Sugarcane Production Systems","S. Roy; M. M. Roy; A. K. Jaiswal; A. Baitha",6,"NA",NA,NA,NA,NA,NA,NA,NA,"Sugar","Sugarcane","Sugar Crops","Animal","Arthropoda","Insecta","Coleoptera",NA,NA,"Borer","Burning","Conservation","Cropland","traditional","Burning","Burning","Sugarcane",NA,NA,"diversity","Abundance",260,"Percentage_change",1,0,100,NA,NA,NA,NA,NA,"Page_7","Srikanth et al. 1997; Sajjad et al. 2012",NA,NA,1,"Traditional"
99,"Mandal.A","Review","Impact of genetically modified crops on rhizosphere microorganisms and processes: A review focusing on Bt cotton","A. Mandal; B. Sarkar; G. Owens; J. K. Thakur; M. C. Manna; N. K. Niazi; S. Jayaraman; A. K. Patra",26,"NA",NA,NA,NA,NA,NA,NA,NA,"Oils_fats","Cotton","Oil crops","Microbes","Rhyzosphere_microbes",NA,NA,NA,NA,NA,"Bt.vs.Non_Bt","Non_Bt","Cropland","Transgenic","Bt","Bt","Bt_Cotton",NA,NA,"Enzymatic_activity","Acid phosphatase",167,"Percentage_change",1,0,116.3,NA,NA,NA,NA,NA,"Page_6","(Sarkar et al., 2009).",NA,NA,1,"Non_Bt"
99,"Mandal.A","Review","Impact of genetically modified crops on rhizosphere microorganisms and processes: A review focusing on Bt cotton","A. Mandal; B. Sarkar; G. Owens; J. K. Thakur; M. C. Manna; N. K. Niazi; S. Jayaraman; A. K. Patra",26,"NA",NA,NA,NA,NA,NA,NA,NA,"Oils_fats","Cotton","Oil crops","Microbes","Rhyzosphere_microbes",NA,NA,NA,NA,NA,"Bt.vs.Non_Bt","Non_Bt","Cropland","Transgenic","Bt","Bt","Bt_Cotton",NA,NA,"Enzymatic_activity","Acid phosphatase",167,"Percentage_change",1,0,116.3,NA,NA,NA,NA,NA,"Page_6","(Sarkar et al., 2009).",NA,NA,1,"Non_Bt"
39,"Morales.M","Review","Effect of winter cover crops on the soil microbiome: a systematic literature review","M. E. Morales; G. A. Iocoli; M. B. Villamil; M. C. Zabaloy",22,"NA",NA,"English_Spanish","Argentina_Australia_Brasil_Spain_South.Africa",".",NA,NA,NA,"Oils_fats","Soybean","Oil crops","Bacteria",NA,NA,NA,NA,NA,NA,"Rotation.vs.Fallow","Fallow","Cropland","mixed","Rotation","Rotation","Soy","Oat",NA,"biomass","Biomass",105,"Percentage_change",1,0,100,NA,NA,NA,NA,NA,"Results",NA,NA,NA,1,"Mixed"
99,"Mandal.A","Review","Impact of genetically modified crops on rhizosphere microorganisms and processes: A review focusing on Bt cotton","A. Mandal; B. Sarkar; G. Owens; J. K. Thakur; M. C. Manna; N. K. Niazi; S. Jayaraman; A. K. Patra",26,"NA",NA,NA,NA,NA,NA,NA,NA,"Oils_fats","Cotton","Oil crops","Animal","Annelida","Clitellata","Opisthopora",NA,NA,NA,"Bt.vs.Non_Bt","Non_Bt","Cropland","Transgenic","Bt","Bt","Bt_Cotton",NA,NA,"survival","Survival",196,"Percentage_change",1,0,100,NA,NA,NA,NA,NA,"Table_5","Qiao et al. (2017)",NA,NA,1,"Non_Bt"
36,"Delaquis.E","Meta-Analysis","On-farm diversity offsets environmental pressures in tropical agro-ecosystems: A synthetic review for cassava-based systems","E. Delaquis; S. de Haan; K. A. G. Wyckhuys",23,"NA","1975–2015",NA,"Africa",NA,NA,NA,"Vote_count","Roots_tubers","Cassava","Other perennial crops","Animal","Arthropoda","Insecta","Hemiptera","Pseudococcidae","Phenacoccus manihoti","Pest","Intercrop.vs.Monoculture","Monoculture","Cropland","mixed","Intercrop","Intercrop","Cassava",NA,NA,"unclassified","Pest_indicators",52,"Percentage_change",23,0,100,NA,NA,NA,NA,NA,"Figure_4",NA,NA,NA,23,"Mixed"
24,"Fitzherbert.E","Review","How will oil palm expansion affect
biodiversity?","Emily B. Fitzherbert1,2, Matthew J. Struebig3, Alexandra Morel4, Finn Danielsen5,
Carsten A. Bru¨ hl6, Paul F. Donald7 and Ben Phalan",11,"NA",NA,NA,NA,NA,NA,NA,NA,"Oils_fats","Oil_palm","Oil crops","Animal","Arthropoda","Insecta","Lepidoptera",NA,NA,NA,"Conventional.vs.Primary_vegetation","conventional","Cropland","Primary_vegetation","Conventional","Conventional","Oil_Palm",NA,NA,"diversity","Relative_species_richness",293,"Percentage_change",1,0,181.3057521,NA,NA,NA,NA,NA,"Fig_2","Koh, L.P. and Wilcove, D.S. (2008)",NA,NA,1,"Conventional"
9,"Gatehouse.A","Review","Insect-resistant biotech crops and their impacts on beneficial arthropods","A. M. R. Gatehouse; N. Ferry; M. G. Edwards; H. A. Bell",32,"NA",NA,NA,NA,NA,NA,NA,NA,"Oils_fats","Rape_seed","Oil crops","Animal","Arthropoda","Insecta","Lepidoptera","Coccinellidae","Harmonia axyridis",NA,"GM","Conventional","Cropland","Transgenic","GM","GM","GM_Oilseed_rape",NA,"OC1","reproduction","Reproductive_fitness",207,"Percentage_change",1,0,100,NA,NA,NA,NA,NA,"Page_9","Gatehouse, A. , et al.(2011)",NA,NA,1,"Conventional"
9,"Gatehouse.A","Review","Insect-resistant biotech crops and their impacts on beneficial arthropods","A. M. R. Gatehouse; N. Ferry; M. G. Edwards; H. A. Bell",32,"NA",NA,NA,NA,NA,NA,NA,NA,"Roots_tubers","Potato","Other annual crops","Animal","Arthropoda","Insecta","Coleoptera","Coccinellidae","Hippodamia convergens","Predators","Bt","Conventional","Cropland","Transgenic","Bt","Bt","Bt_Potato",NA,"Cry3","development","Development time",240,"Percentage_change",1,0,100,NA,NA,NA,NA,NA,"Table_2","Dogan et al. [95]",NA,NA,1,"Transgenic"
21,"Yaap.B","Review","Mitigating the biodiversity impacts of oil palm development","Betsy Yaap1, Matthew J. Struebig2,3*, Gary Paoli1 and Lian Pin Koh4",1,"22",NA,NA,NA,NA,NA,NA,NA,"Oils_fats","Oil_palm","Oil crops","Forest_species",NA,NA,NA,NA,NA,NA,"Conventional.vs.Primary_vegetation","conventional","Cropland","Primary_vegetation","Conventional","Conventional","Oil_Palm",NA,NA,"diversity","Species_richness",280,"Percentage_change",1,0,185,NA,NA,NA,NA,NA,"Page_2_3","Danielsen F, et al. (2009)",NA,NA,1,"Conventional"
99,"Mandal.A","Review","Impact of genetically modified crops on rhizosphere microorganisms and processes: A review focusing on Bt cotton","A. Mandal; B. Sarkar; G. Owens; J. K. Thakur; M. C. Manna; N. K. Niazi; S. Jayaraman; A. K. Patra",26,"NA",NA,NA,NA,NA,NA,NA,NA,"Oils_fats","Cotton","Oil crops","Bacteria",NA,NA,NA,NA,NA,NA,"Bt.vs.Non_Bt","Non_Bt","Cropland","Transgenic","Bt","Bt","Bt_Cotton",NA,NA,"diversity","Abundance",186,"Percentage_change",1,0,100,NA,NA,NA,NA,NA,"Table_5","Hu et al. (2013)",NA,NA,1,"Transgenic"
39,"Morales.M","Review","Effect of winter cover crops on the soil microbiome: a systematic literature review","M. E. Morales; G. A. Iocoli; M. B. Villamil; M. C. Zabaloy",22,"NA",NA,"English_Spanish","Argentina_Australia_Brasil_Spain_South.Africa",".",NA,NA,NA,"Oils_fats","Cotton","Oil crops","Fungi",NA,NA,NA,NA,NA,NA,"Rotation.vs.Fallow","Fallow","Cropland","mixed","Rotation","Rotation","Cotton","Rye",NA,"biomass","Biomass",100,"Percentage_change",1,0,100,NA,NA,NA,NA,NA,"Results",NA,NA,NA,1,"Mixed"
99,"Mandal.A","Review","Impact of genetically modified crops on rhizosphere microorganisms and processes: A review focusing on Bt cotton","A. Mandal; B. Sarkar; G. Owens; J. K. Thakur; M. C. Manna; N. K. Niazi; S. Jayaraman; A. K. Patra",26,"NA",NA,NA,NA,NA,NA,NA,NA,"Oils_fats","Cotton","Oil crops","Microbes",NA,NA,NA,NA,NA,NA,"Bt.vs.Non_Bt","Non_Bt","Cropland","Transgenic","Bt","Bt","Bt_Cotton",NA,NA,"diversity","Functional_diversity",178,"Percentage_change",1,0,100,NA,NA,NA,NA,NA,"Table_5","Kapur et al. (2010)",NA,NA,1,"Non_Bt"
28,"Kropm.B","Review","Carabid beetles in sustainable agriculture: A review on pest control efficacy, cultivation impacts and enhancement","B. Kromp",8,"NA","1971-1983",NA,"Germany","51.06899285","10.19453204",NA,NA,"Cereals_grains","Wheat","Cereals","Animal","Arthropoda","Insecta","Coleoptera","Carabidae","Platynus dorsalis",NA,"Sustainable.vs.Intensified","conventional","Cropland","Sustainable","Intensified","Intensified","Wheat",NA,NA,"diversity","Abundance",308,"Percentage_change",1,0,200,NA,NA,NA,NA,NA,NA,"Basedow (1987)",NA,NA,1,"Conventional"
28,"Kropm.B","Review","Carabid beetles in sustainable agriculture: A review on pest control efficacy, cultivation impacts and enhancement","B. Kromp",8,"NA","1994",NA,NA,NA,NA,NA,NA,"Cereals_grains","Barley","Cereals","Animal","Arthropoda","Insecta","Coleoptera","Carabidae",NA,NA,"Organic.vs.Conventional","Conventional","Cropland","Organic","Organic","Organic","Barley",NA,NA,"diversity","Abundance",47,"Percentage_change",1,0,150,NA,NA,NA,NA,NA,NA,"House and Parmalee (1985)",NA,NA,1,"Conventional"
39,"Morales.M","Review","Effect of winter cover crops on the soil microbiome: a systematic literature review","M. E. Morales; G. A. Iocoli; M. B. Villamil; M. C. Zabaloy",22,"NA",NA,"English_Spanish","Argentina_Australia_Brasil_Spain_South.Africa",".",NA,NA,NA,"Cereals_grains","Maize","Cereals","Bacteria",NA,NA,NA,NA,NA,NA,"Rotation.vs.Fallow","Fallow","Cropland","mixed","Rotation","Rotation","Maize","Vetch",NA,"biomass","Biomass",118,"Percentage_change",1,0,100,NA,NA,NA,NA,NA,"Results",NA,NA,NA,1,"Mixed"
9,"Gatehouse.A","Review","Insect-resistant biotech crops and their impacts on beneficial arthropods","A. M. R. Gatehouse; N. Ferry; M. G. Edwards; H. A. Bell",32,"NA",NA,NA,NA,NA,NA,NA,NA,"Oils_fats","Cotton","Oil crops","Animal","Arthropoda","Insecta","Hymenoptera","Braconidae","M. mediator","Parasitoids","Bt","Conventional","Cropland","Transgenic","Bt","Bt","Bt_Cotton",NA,"Bt","unclassified","Effect",213,"Percentage_change",1,0,100,NA,NA,NA,NA,NA,"Table_1","Liu et al. [49]",NA,NA,1,"Transgenic"
52,"Tang.K","Review","Sustainability of oil palm plantations in Malaysia","K. H. D. Tang; H. M. S. Al Qahtani",9,"NA","2000-2019",NA,NA,NA,NA,NA,NA,"Oils_fats","Oil_palm","Oil crops","Animal","Chordata","Birds",NA,NA,NA,NA,"Conventional.vs.Primary_forest","conventional","Cropland","Primary_forest","Conventional","Conventional","Oil_Palm",NA,NA,"diversity","Species_richness",325,"Percentage_change",1,0,177,NA,NA,NA,NA,NA,"Page_6","Peh et al. 2005",NA,NA,1,"Conventional"
